id,value,feed_id,created_at,lat,lon,ele
0EX0Y9CEVK5RN546NBYNP551WP,23.037106,1762836,2021-12-09 14:46:08 UTC,,,
0EX0YBXV0X4FR0SBRTCY3TQDHR,24.003904,1762836,2021-12-09 14:50:34 UTC,,,
0EX0YC1HRJYNX9PEYGA066JNX8,25.278318,1762836,2021-12-09 14:50:46 UTC,,,
0EX0YC2EMJF2R0M7HD5XN0D3MB,26.20117,1762836,2021-12-09 14:50:49 UTC,,,
0EX0YC3PWP5HYYWTA2F346009J,26.992184,1762836,2021-12-09 14:50:53 UTC,,,
0EX0YC4ZR0V34HVC2C49RKJRE1,27.519529,1762836,2021-12-09 14:50:58 UTC,,,
0EX0YC70MD6C25T1EH4TH5MNQ4,28.00293,1762836,2021-12-09 14:51:04 UTC,,,
0EX0YC7GK4JPJVZ9R9EBHDYQAA,28.090816,1762836,2021-12-09 14:51:06 UTC,,,
0EX0YC8ZJEXQH3G8P5GF8K9HQY,27.431637,1762836,2021-12-09 14:51:11 UTC,,,
0EX0YC9D6XGRHAC87DK6FVWWPT,27.167965,1762836,2021-12-09 14:51:12 UTC,,,
0EX0YEVGR93Y2P5Q0MX5PYZR71,25.278318,1762859,2021-12-09 14:55:41 UTC,,,
0EX0YEXP9EX8695PG60Y05BA0Y,25.190426,1762859,2021-12-09 14:55:48 UTC,,,
0EX0YEXZZGE4ZANXAP8XEZRBM7,25.322264,1762859,2021-12-09 14:55:49 UTC,,,
0EX0YEYCG4XMCW7N6E8ZVRKH6G,25.278318,1762859,2021-12-09 14:55:51 UTC,,,
0EX0YEYWPRX04QESM6CJK5WRDC,25.278318,1762859,2021-12-09 14:55:52 UTC,,,
0EX0YEZ839DTJX151DPF3Q2S18,25.322264,1762859,2021-12-09 14:55:53 UTC,,,
0EX0YEZK5QPRJR51HWJN970M0A,25.322264,1762859,2021-12-09 14:55:55 UTC,,,
0EX0YEZXFG6EN3PCGJETBBKF8K,25.322264,1762859,2021-12-09 14:55:56 UTC,,,
0EX0YF079H86B7Z65PY28R9T4X,25.278318,1762859,2021-12-09 14:55:57 UTC,,,
0EX0YFCYY9VCD98DGS3DZ6GNVY,25.234371,1762859,2021-12-09 14:56:38 UTC,,,
0EX0YFD8W9DK0NMB4SS3RS4TQK,25.234371,1762859,2021-12-09 14:56:39 UTC,,,
0EX0YFDKSVJDVYDEE9VG09DYCP,25.278318,1762859,2021-12-09 14:56:40 UTC,,,
